Experiment,Category,Scene,IS
Aggregated Attention,Airplane,Cloud,1.0
Aggregated Attention,Airplane,Runway,1.0
Aggregated Attention,Airplane,All,1.012939691543579
Aggregated Attention,Automobile,Highway,1.0
Aggregated Attention,Automobile,City,0.9999998807907104
Aggregated Attention,Automobile,All,1.022948980331421
Aggregated Attention,Animal,Forest,1.0
Aggregated Attention,Animal,Desert,1.0
Aggregated Attention,Animal,Beach,1.0
Aggregated Attention,Animal,All,1.0362170934677124
Aggregated Attention,All,All,1.0471582412719727
Scene-Based,Airplane,Cloud,1.0
Scene-Based,Airplane,Runway,1.0
Scene-Based,Airplane,All,1.0184026956558228
Scene-Based,Automobile,Highway,1.0
Scene-Based,Automobile,City,1.0
Scene-Based,Automobile,All,1.0213874578475952
Scene-Based,Animal,Forest,1.0
Scene-Based,Animal,Desert,0.9999998807907104
Scene-Based,Animal,Beach,1.0
Scene-Based,Animal,All,1.0455073118209839
Scene-Based,All,All,1.0520408153533936
Stable Diffusion,Airplane,Cloud,1.0
Stable Diffusion,Airplane,Runway,1.0
Stable Diffusion,Airplane,All,1.0168219804763794
Stable Diffusion,Automobile,Highway,0.9999998807907104
Stable Diffusion,Automobile,City,1.0
Stable Diffusion,Automobile,All,1.0225067138671875
Stable Diffusion,Animal,Forest,1.0
Stable Diffusion,Animal,Desert,1.0
Stable Diffusion,Animal,Beach,1.0
Stable Diffusion,Animal,All,1.0412769317626953
Stable Diffusion,All,All,1.0553903579711914
